lambda,gamma,cov_type,PICP,Volume
0,0,GT,94.331,3.021
0,0,sphere,95.203,4.162
0,0,ellip,93.314,2.496
0.001,0,ellip,93.314,2.497
0.01,0,ellip,93.169,2.497
0.05,0,ellip,93.169,2.499
0.1,0,ellip,93.169,2.500
0.2,0,ellip,93.750,2.507
0.3,0,ellip,93.895,2.514
0.5,0,ellip,94.331,2.553
1,0,ellip,94.477,2.989
0,0.01,GT,95.349,3.053
0,0.01,sphere,95.203,4.181
0,0.01,ellip,94.767,2.644
0.001,0.01,ellip,94.767,2.644
0.01,0.01,ellip,94.913,2.579
0.05,0.01,ellip,94.913,2.579
0.1,0.01,ellip,94.767,2.567
0.2,0.01,ellip,94.767,2.579
0.3,0.01,ellip,94.913,2.572
0.5,0.01,ellip,94.913,2.603
1,0.01,ellip,95.349,3.066
