lambda,gamma,method,picp,ineff
0,0,ellip,94.6220932,2608.886444
0.1,0,ellip,94.91278839,2608.573907
0.2,0,ellip,94.7674408,2612.617443
0.3,0,ellip,94.47673798,2619.409975
0.4,0,ellip,94.47673798,2629.879054
0.5,0,ellip,94.18604279,2643.112933
0.8,0,ellip,95.05813599,2688.219844
1,0,ellip,95.05813599,2729.530519
0,0,GT,95.639534,2625.619919
0,0,sphere,95.78488159,3686.351563
0,0.01,ellip,94.91278839,2638.368776
0.1,0.01,ellip,94.91278839,2627.396404
0.2,0.01,ellip,94.91278839,2625.544861
0.3,0.01,ellip,94.91278839,2631.361754
0.4,0.01,ellip,94.91278839,2674.658213
0.5,0.01,ellip,94.91278839,2696.791498
0.8,0.01,ellip,94.91278839,2733.046406
1,0.01,ellip,94.91278839,2729.333957
0,0.01,GT,94.91278839,2610.693507
0,0.01,sphere,95.20349121,3596.229492
0,0.05,ellip,94.6220932,2668.932739
0.1,0.05,ellip,94.6220932,2651.760845
0.2,0.05,ellip,94.6220932,2657.468509
0.3,0.05,ellip,94.6220932,2659.142564
0.4,0.05,ellip,94.47673798,2685.422674
0.5,0.05,ellip,94.47673798,2730.253914
0.8,0.05,ellip,94.47673798,2770.197354
1,0.05,ellip,94.47673798,2786.450744
0,0.05,GT,94.7674408,2668.979563
0,0.05,sphere,94.7674408,3705.07373
